"id,task_name,category,status,date,week,weekday,note"
"1,日文 L35,學習成長,未完成,2026-04-21,W17,Mon,"
"2,神經解剖複習,學習成長,進行中,2026-04-21,W17,Mon,"
"3,英單 30 個,學習成長,已完成,2026-04-21,W17,Mon,"
"4,洗衣服,日常生活,已完成,2026-04-21,W17,Mon,"
"5,整理房間,日常生活,未完成,2026-04-21,W17,Mon,"
"6,散步 30 分鐘,自我照顧,進行中,2026-04-21,W17,Mon,"
"7,日文 L36,學習成長,未完成,2026-04-22,W17,Tue,"
"8,閱讀 30 分鐘,學習成長,進行中,2026-04-22,W17,Tue,"
"9,晚餐備餐,日常生活,未完成,2026-04-22,W17,Tue,"
"10,倒垃圾,日常生活,未完成,2026-04-22,W17,Tue,"
"11,冥想 10 分鐘,自我照顧,已完成,2026-04-22,W17,Tue,"
